RSU DISTRIBUTION SCHEDULE,,,,,,
Grant,Granted,Distribution Date,Net Shares,Cumulative RSU Distributed,Notes
2025RSU,Aug 2025,Nov 2025,427,427,Already distributed
2025RSU,Aug 2025,Feb 2026,428,855,Already distributed
2025RSU,Aug 2025,May 2026,427,1282,
2025RSU,Aug 2025,Aug 2026,428,1710,
2025RSU,Aug 2025,Nov 2026,428,2138,
2025RSU,Aug 2025,Feb 2027,427,2565,
2025RSU,Aug 2025,May 2027,428,2993,
2025RSU,Aug 2025,Aug 2027,428,3421,
2025RSU,Aug 2025,Nov 2027,427,3848,
2025RSU,Aug 2025,Feb 2028,428,4276,
2025RSU,Aug 2025,May 2028,427,4703,
2025RSU,Aug 2025,Aug 2028,428,5131,
2025RSU,Aug 2025,Nov 2028,428,5559,
2025RSU,Aug 2025,Feb 2029,427,5986,
2025RSU,Aug 2025,May 2029,428,6414,
2025RSU,Aug 2025,Aug 2029,428,6842,FINAL distribution
2025RSU,Feb 2026,May 2026,672,672,
2025RSU,Feb 2026,Aug 2026,673,1345,
2025RSU,Feb 2026,Nov 2026,673,2018,
2025RSU,Feb 2026,Feb 2027,672,2690,
2025RSU,Feb 2026,May 2027,673,3363,
2025RSU,Feb 2026,Aug 2027,673,4036,
2025RSU,Feb 2026,Nov 2027,672,4708,
2025RSU,Feb 2026,Feb 2028,673,5381,
2025RSU,Feb 2026,May 2028,673,6054,
2025RSU,Feb 2026,Aug 2028,672,6726,
2025RSU,Feb 2026,Nov 2028,673,7399,
2025RSU,Feb 2026,Feb 2029,673,8072,
2025RSU,Feb 2026,May 2029,672,8744,
2025RSU,Feb 2026,Aug 2029,673,9417,
2025RSU,Feb 2026,Nov 2029,673,10090,
2025RSU,Feb 2026,Feb 2030,673,10763,FINAL distribution
,,,,,,
ISO SHARES - AMT CREDIT TRACKING,,,,,,
Lot,Exercise Date,Exercise Price,AMT Basis,Shares,Qualifying LTCG After,AMT Credit (Federal)
Lot A,Aug 29 2025,8.33,31.50,1680,Aug 29 2026,Contributes to $76202 credit
Lot B,Sep 19 2025,2.22,32.88,9258,Sep 19 2026,Contributes to $76202 credit
Total ISO shares,,,,10938,,76202
